NAME,NAME_EN,NAME_RU,OSM_ID,Amount of,Employees,revenue in,amount o_1,employee i,revenue _1
Terrassa,,,"342210",1375.000000000000000,10707.000000000000000,2625777649.926652431488037,227.000000000000000,3431.000000000000000,838615368.920365095138550
Folgueroles,,,"342070",20.000000000000000,168.000000000000000,16656585.766637198626995,3.000000000000000,107.000000000000000,13292795.626999996602535
Gavà,,,"342072",206.000000000000000,2482.000000000000000,601756587.119713425636292,51.000000000000000,1515.000000000000000,399301479.933142542839050
Vallromanes,,,"341900",10.000000000000000,12.000000000000000,1453328.438515426823869,2.000000000000000,2.000000000000000,223147.552494278002996
Fonollosa,,,"342065",7.000000000000000,29.000000000000000,7662196.004000000655651,0.000000000000000,0.000000000000000,0.000000000000000
Font-rubí,,,"342064",32.000000000000000,100.000000000000000,27269144.413816969841719,1.000000000000000,1.000000000000000,117740.212645430001430
Fogars de la Selva,,,"342071",10.000000000000000,54.000000000000000,3329803.923001690302044,1.000000000000000,42.000000000000000,2662540.000000000000000
Palau-solità i Plegamans,,,"341789",183.000000000000000,1593.000000000000000,343765530.570282936096191,54.000000000000000,709.000000000000000,187588852.257691144943237
el Papiol,,,"341787",68.000000000000000,532.000000000000000,163697173.859447121620178,15.000000000000000,94.000000000000000,13835637.995069516822696
Gallifa,,,"342066",1.000000000000000,1.000000000000000,62766.398000000001048,0.000000000000000,0.000000000000000,0.000000000000000
la Garriga,,,"342073",130.000000000000000,728.000000000000000,237084079.630019456148148,28.000000000000000,237.000000000000000,44448321.071420624852180
les Franqueses del Vallès,,,"342067",241.000000000000000,2915.000000000000000,693846890.933051347732544,65.000000000000000,1934.000000000000000,554784496.901564002037048
Talamanca,,,"342212",2.000000000000000,2.000000000000000,86469.039999999993597,0.000000000000000,0.000000000000000,0.000000000000000
Sora,,,"342215",14.000000000000000,37.000000000000000,13624642.132904561236501,1.000000000000000,10.000000000000000,2160738.966000000014901
Subirats,,,"342216",49.000000000000000,211.000000000000000,23008265.314446501433849,3.000000000000000,10.000000000000000,2787279.851016640197486
Sant Esteve Sesrovires,,,"342427",117.000000000000000,1639.000000000000000,307462609.110734760761261,36.000000000000000,906.000000000000000,156566969.189501702785492
Tavèrnoles,,,"342214",5.000000000000000,13.000000000000000,2052192.320098994998261,1.000000000000000,9.000000000000000,1837270.889999999897555
Sitges,,,"342217",130.000000000000000,354.000000000000000,84284311.009732604026794,16.000000000000000,61.000000000000000,40591004.563929080963135
Sant Pere de Torelló,,,"342903",28.000000000000000,409.000000000000000,66839898.230512864887714,4.000000000000000,44.000000000000000,7156661.800257936120033
Sant Cebrià de Vallalta,,,"342447",13.000000000000000,194.000000000000000,25174450.718187123537064,2.000000000000000,170.000000000000000,23102485.140000000596046
Olesa de Montserrat,,,"342826",119.000000000000000,828.000000000000000,280805122.368142724037170,17.000000000000000,518.000000000000000,246248250.203155368566513
Sant Quirze del Vallès,,,"342912",154.000000000000000,1539.000000000000000,288272783.889054834842682,36.000000000000000,372.000000000000000,104768654.978697851300240
Santa Maria de Miralles,,,"342590",2.000000000000000,3.000000000000000,117357.918999999994412,0.000000000000000,0.000000000000000,0.000000000000000
Badia del Vallès,,,"342959",11.000000000000000,11.000000000000000,622301.228745947009884,1.000000000000000,1.000000000000000,41592.741999999998370
la Palma de Cervelló,,,"342960",32.000000000000000,127.000000000000000,20282706.259543914347887,12.000000000000000,73.000000000000000,14322866.868359033018351
el Bruc,,,"343718",14.000000000000000,37.000000000000000,3024512.771430320106447,1.000000000000000,1.000000000000000,32613.269471044000966
Rupit i Pruit,,,"342961",2.000000000000000,2.000000000000000,125328.605999999985215,0.000000000000000,0.000000000000000,0.000000000000000
Arenys de Mar,,Ареньс-де-Мар,"343407",73.000000000000000,250.000000000000000,54749470.408600948750973,6.000000000000000,15.000000000000000,1090260.913936916971579
Vilassar de Mar,,,"343236",100.000000000000000,343.000000000000000,90613432.309661597013474,15.000000000000000,43.000000000000000,7350661.143947040662169
Sant Feliu de Llobregat,,,"343436",202.000000000000000,2061.000000000000000,565358581.855337381362915,37.000000000000000,275.000000000000000,54338389.758493281900883
Arenys de Munt,,Ареньс-де Мунт,"343406",107.000000000000000,534.000000000000000,88014957.050710961222649,15.000000000000000,114.000000000000000,14659334.292226808145642
Sant Joan de Vilatorrada,,,"343235",58.000000000000000,1018.000000000000000,439156064.062005341053009,3.000000000000000,85.000000000000000,14236500.453952297568321
Tordera,,,"343669",75.000000000000000,344.000000000000000,47961110.306299701333046,6.000000000000000,9.000000000000000,1390125.057578549953178
Sant Feliu Sasserra,,,"343441",14.000000000000000,62.000000000000000,20002811.428000003099442,0.000000000000000,0.000000000000000,0.000000000000000
les Cabanyes,,,"343716",17.000000000000000,89.000000000000000,18396670.085014246404171,5.000000000000000,57.000000000000000,14388561.599510490894318
la Torre de Claramunt,,,"343659",26.000000000000000,292.000000000000000,53519736.923556596040726,2.000000000000000,34.000000000000000,3129568.061521279625595
l'Ametlla del Vallès,,,"343400",91.000000000000000,475.000000000000000,82939801.862362042069435,14.000000000000000,68.000000000000000,16638986.167429087683558
Argentona,,,"343396",125.000000000000000,1561.000000000000000,342931679.758857429027557,14.000000000000000,424.000000000000000,88371070.736207365989685
Sant Joan Despí,,,"343449",151.000000000000000,3149.000000000000000,1835153573.820408821105957,38.000000000000000,2351.000000000000000,1591985515.687415361404419
Argençola,,,"343397",2.000000000000000,9.000000000000000,1313922.219999999972060,1.000000000000000,1.000000000000000,79804.600000000005821
Alella,,Алелья,"343410",45.000000000000000,112.000000000000000,12121494.870871884748340,7.000000000000000,21.000000000000000,3127811.274355457164347
Abrera,,Абрера,"343408",107.000000000000000,1829.000000000000000,430697587.164204895496368,45.000000000000000,1287.000000000000000,319246287.139306545257568
Alpens,,Альпенс,"343401",3.000000000000000,12.000000000000000,1850146.117000000085682,0.000000000000000,0.000000000000000,0.000000000000000
Vilassar de Dalt,,,"343445",110.000000000000000,841.000000000000000,153307609.753602862358093,20.000000000000000,364.000000000000000,79813767.951305776834488
Cabrera de Mar,,,"343710",125.000000000000000,767.000000000000000,107947554.011613339185715,26.000000000000000,242.000000000000000,46786373.406246058642864
Sant Hipòlit de Voltregà,,,"343447",32.000000000000000,60.000000000000000,3236664.731854795478284,6.000000000000000,12.000000000000000,277367.907405712991022
Bigues i Riells del Fai,,,"343712",82.000000000000000,403.000000000000000,106456960.947913959622383,16.000000000000000,88.000000000000000,20795436.123118225485086
Torelló,,,"343668",142.000000000000000,1244.000000000000000,219852956.623513460159302,26.000000000000000,161.000000000000000,29984620.584466006606817
Cabrera d'Anoia,,,"343711",4.000000000000000,17.000000000000000,1652434.919999999925494,0.000000000000000,0.000000000000000,0.000000000000000
Bellprat,,,"343714",1.000000000000000,1.000000000000000,51168.411999999996624,0.000000000000000,0.000000000000000,0.000000000000000
Tona,,,"343670",74.000000000000000,428.000000000000000,195259674.763242751359940,11.000000000000000,66.000000000000000,6842657.154519217088819
Begues,,,"343715",28.000000000000000,96.000000000000000,15508014.235435675829649,2.000000000000000,5.000000000000000,659673.967031768057495
Canovelles,,,"344060",146.000000000000000,1026.000000000000000,280940906.191382527351379,39.000000000000000,610.000000000000000,230654588.824724137783051
Tiana,,,"343671",26.000000000000000,54.000000000000000,39425879.820749431848526,4.000000000000000,8.000000000000000,35923707.880000002682209
Teià,,,"343672",55.000000000000000,169.000000000000000,23537373.185601267963648,13.000000000000000,43.000000000000000,7527527.800999999977648
el Brull,,,"343717",4.000000000000000,5.000000000000000,709534.577000000048429,0.000000000000000,0.000000000000000,0.000000000000000
Borredà,,,"343719",4.000000000000000,9.000000000000000,814582.564000000013039,0.000000000000000,0.000000000000000,0.000000000000000
Berga,,,"343713",96.000000000000000,358.000000000000000,52543776.576054729521275,4.000000000000000,16.000000000000000,1218562.281109566101804
Sant Fruitós de Bages,,,"343444",145.000000000000000,2234.000000000000000,735615078.237793922424316,33.000000000000000,1440.000000000000000,445422368.586765110492706
Casserres,,,"344068",19.000000000000000,68.000000000000000,7639255.244063188321888,1.000000000000000,1.000000000000000,86836.792448474006960
Carme,,,"344069",5.000000000000000,6.000000000000000,489875.127999999967869,3.000000000000000,4.000000000000000,285153.473999999987427
Sagàs,,,"344198",2.000000000000000,4.000000000000000,132379.013999999995576,0.000000000000000,0.000000000000000,0.000000000000000
Sabadell,,,"344202",1152.000000000000000,5893.000000000000000,947468862.350134611129761,162.000000000000000,1070.000000000000000,179831898.902224183082581
Collbató,,,"344372",20.000000000000000,67.000000000000000,12407592.901657009497285,3.000000000000000,19.000000000000000,3282993.700000000186265
Ripollet,,,"344203",246.000000000000000,1349.000000000000000,172627655.933270633220673,40.000000000000000,314.000000000000000,37332790.251062884926796
Capellades,,,"344065",45.000000000000000,167.000000000000000,18012961.821249704807997,6.000000000000000,10.000000000000000,848357.006694138864987
Aguilar de Segarra,,,"344406",4.000000000000000,5.000000000000000,240009.562000000005355,0.000000000000000,0.000000000000000,0.000000000000000
Canyelles,,,"344062",16.000000000000000,76.000000000000000,6212993.824000000022352,1.000000000000000,36.000000000000000,3466486.640000000130385
el Pont de Vilomara i Rocafort,,,"344205",12.000000000000000,76.000000000000000,8855671.298000002279878,2.000000000000000,4.000000000000000,434688.312000000034459
Cardona,,,"344066",40.000000000000000,263.000000000000000,83963899.302677825093269,5.000000000000000,98.000000000000000,28676900.073178064078093
Cardedeu,,,"344067",138.000000000000000,830.000000000000000,142876808.586985647678375,28.000000000000000,419.000000000000000,86958782.372996687889099
Cànoves i Samalús,,,"344063",13.000000000000000,18.000000000000000,2129753.693999999668449,0.000000000000000,0.000000000000000,0.000000000000000
la Roca del Vallès,,,"344204",96.000000000000000,866.000000000000000,220712617.296641021966934,16.000000000000000,438.000000000000000,155039793.878715306520462
Canet de Mar,,,"344061",101.000000000000000,407.000000000000000,157684501.709498584270477,9.000000000000000,11.000000000000000,1534935.982000000309199
Castellterçol,,,"344377",27.000000000000000,243.000000000000000,48315993.849214985966682,3.000000000000000,5.000000000000000,299265.393999999971129
Castellfollit de Riubregós,,,"344381",1.000000000000000,1.000000000000000,30000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Castellgalí,,,"344380",36.000000000000000,297.000000000000000,62793889.251318864524364,12.000000000000000,200.000000000000000,53603853.151571281254292
Castellví de Rosanes,,,"344375",30.000000000000000,377.000000000000000,127866310.240978136658669,11.000000000000000,97.000000000000000,22037814.901779830455780
Vilanova del Camí,,,"344519",56.000000000000000,192.000000000000000,26264930.460456300526857,5.000000000000000,36.000000000000000,8067787.749999999068677
Centelles,,,"344374",97.000000000000000,890.000000000000000,153848298.954803556203842,19.000000000000000,145.000000000000000,22068863.258084788918495
Sant Pere Sallavinera,,,"344199",2.000000000000000,2.000000000000000,105128.927728831011336,0.000000000000000,0.000000000000000,0.000000000000000
Roda de Ter,,,"344206",49.000000000000000,362.000000000000000,390447639.517734289169312,1.000000000000000,1.000000000000000,79804.600000000005821
Rubí,,,"344200",643.000000000000000,7115.000000000000000,1477340852.573326110839844,150.000000000000000,3933.000000000000000,906152457.542076706886292
Viladecans,,,"344522",273.000000000000000,1913.000000000000000,388803480.246248185634613,38.000000000000000,424.000000000000000,82551186.165722027420998
Rubió,,,"344201",1.000000000000000,1.000000000000000,87417.779999999998836,0.000000000000000,0.000000000000000,0.000000000000000
Vilafranca del Penedès,,,"344518",191.000000000000000,904.000000000000000,162307020.059091299772263,24.000000000000000,163.000000000000000,28839800.452997379004955
Vilobí del Penedès,,,"344517",15.000000000000000,240.000000000000000,73172248.485800072550774,3.000000000000000,36.000000000000000,16487537.042307691648602
Castellolí,,,"344378",6.000000000000000,6.000000000000000,503447.250999999989290,1.000000000000000,1.000000000000000,95051.157999999995809
Vilanova de Sau,,,"344520",3.000000000000000,4.000000000000000,1028983.760999999940395,1.000000000000000,1.000000000000000,903450.964999999967404
Castellví de la Marca,,,"344376",19.000000000000000,89.000000000000000,11830068.812505079433322,1.000000000000000,12.000000000000000,1073654.719999999972060
Cervelló,,,"344373",73.000000000000000,443.000000000000000,71581409.702521294355392,15.000000000000000,52.000000000000000,12661855.313253449276090
la Llagosta,,,"345397",99.000000000000000,1400.000000000000000,269372771.881581485271454,30.000000000000000,744.000000000000000,175776637.087152808904648
